city,transaction,property_type,count,median_price,median_ppm2
casablanca,inconnu,appartement,174,979820.5,10581.4
casablanca,inconnu,studio,107,920000.0,15492.96
casablanca,inconnu,autre,72,18000.0,130.93
casablanca,inconnu,villa,32,4575000.0,7734.38
casablanca,inconnu,chambre,14,17500.0,148.95999999999998
casablanca,inconnu,duplex,9,1290000.0,14659.09
casablanca,inconnu,terrain,4,1046000.0,4225.0
casablanca,inconnu,bureau,1,753000.0,
casablanca,location,appartement,163,11500.0,106.125
casablanca,location,studio,65,7900.0,149.625
casablanca,location,villa,32,35000.0,76.19
casablanca,location,autre,12,11000.0,128.71
casablanca,location,duplex,5,15000.0,106.67
casablanca,location,penthouse,3,50000.0,100.0
casablanca,location,bureau,1,22000.0,131.74
casablanca,location,chambre,1,9000.0,147.54
casablanca,vente,appartement,187,1580000.0,15243.9
casablanca,vente,villa,31,8900000.0,18303.57
casablanca,vente,studio,21,1240000.0,21465.114999999998
casablanca,vente,autre,11,5000000.0,18352.94
casablanca,vente,chambre,9,1650000.0,15277.78
casablanca,vente,duplex,6,2760000.0,15758.384999999998
casablanca,vente,bureau,1,964480.0,
casablanca,vente,penthouse,1,7730000.0,29845.56
marrakech,inconnu,appartement,119,15000.0,171.79000000000002
marrakech,inconnu,villa,111,3100000.0,6450.0
marrakech,inconnu,autre,64,939250.0,11280.744999999999
marrakech,inconnu,studio,18,1064500.0,17887.195
marrakech,inconnu,riad,13,3800000.0,27500.0
marrakech,inconnu,chambre,11,9500.0,108.97
marrakech,inconnu,duplex,7,16000.0,156.86
marrakech,inconnu,bureau,1,4300.0,57.33
marrakech,inconnu,penthouse,1,6590000.0,14515.42
marrakech,location,appartement,176,9500.0,112.5
marrakech,location,villa,82,28000.0,70.295
marrakech,location,autre,17,11500.0,95.555
marrakech,location,studio,15,7500.0,130.77
marrakech,location,chambre,8,11500.0,156.25
marrakech,location,duplex,6,14500.0,104.99
marrakech,location,riad,2,12250.0,225.555
marrakech,vente,appartement,110,1469000.0,18090.91
marrakech,vente,villa,72,4900000.0,11671.21
marrakech,vente,autre,20,4450000.0,14588.185
marrakech,vente,studio,20,1101000.0,22706.895
marrakech,vente,riad,10,3050000.0,23538.135000000002
marrakech,vente,duplex,9,1470000.0,17000.0
marrakech,vente,chambre,1,6200000.0,11742.42
rabat,inconnu,villa,97,12000000.0,12931.630000000001
rabat,inconnu,appartement,89,22000.0,145.45
rabat,inconnu,autre,11,1700000.0,9000.0
rabat,inconnu,riad,9,25000.0,138.89
rabat,inconnu,duplex,5,25000.0,166.67
rabat,inconnu,bureau,4,2775000.0,16414.235
rabat,inconnu,studio,3,6500.0,162.5
rabat,inconnu,terrain,2,8758250.0,36.67
rabat,inconnu,penthouse,1,4999000.0,20657.02
rabat,location,appartement,193,16000.0,123.295
rabat,location,villa,117,40000.0,52.5
rabat,location,riad,49,15000.0,105.295
rabat,location,autre,13,19500.0,142.265
rabat,location,duplex,9,24000.0,137.93
rabat,location,penthouse,6,26500.0,121.58500000000001
rabat,location,studio,5,5500.0,162.5
rabat,location,bureau,1,2500000.0,
rabat,location,chambre,1,14500.0,126.09
rabat,vente,villa,145,13000000.0,15200.0
rabat,vente,appartement,105,2912500.0,21666.67
rabat,vente,riad,39,4300000.0,22857.14
rabat,vente,autre,11,8500000.0,27187.5
rabat,vente,bureau,1,2100000.0,15328.47
rabat,vente,chambre,1,2200000.0,11000.0
rabat,vente,studio,1,900000.0,16981.13
tanger,inconnu,appartement,183,410000.0,7594.94
tanger,inconnu,autre,54,1113000.0,10819.15
tanger,inconnu,villa,28,4225000.0,12000.0
tanger,inconnu,studio,11,17500.0,405.88
tanger,inconnu,chambre,9,13800.0,153.33
tanger,inconnu,riad,6,2159000.0,13541.665
tanger,inconnu,duplex,4,2273000.0,13200.0
tanger,inconnu,penthouse,2,7124000.0,38666.665
tanger,location,appartement,288,11000.0,96.3
tanger,location,villa,38,30000.0,75.0
tanger,location,autre,19,11000.0,80.0
tanger,location,duplex,13,20000.0,86.405
tanger,location,studio,8,6500.0,99.10499999999999
tanger,location,chambre,3,2000.0,13.33
tanger,location,riad,3,7000.0,66.67
tanger,location,bureau,2,26500.0,169.44
tanger,location,penthouse,2,25000.0,91.66499999999999
tanger,vente,appartement,180,1694000.0,15294.645
tanger,vente,villa,37,7500000.0,15510.2
tanger,vente,autre,14,2665000.0,22000.0
tanger,vente,duplex,9,3150000.0,16770.19
tanger,vente,studio,3,1311000.0,19000.0
tanger,vente,penthouse,1,6900000.0,18351.06
tanger,vente,riad,1,3900000.0,17727.27
