year_quarter,city,transaction,avg_price,median_price,avg_ppm2,count
2026-Q2,casablanca,inconnu,1441941.0,753000.0,9496.0,413
2026-Q2,casablanca,location,15700.0,10800.0,117.0,282
2026-Q2,casablanca,vente,3639945.0,1700000.0,18649.0,267
2026-Q2,marrakech,inconnu,2098088.0,693000.0,9378.0,345
2026-Q2,marrakech,location,20929.0,12000.0,111.0,306
2026-Q2,marrakech,vente,3449343.0,1925000.0,17356.0,242
2026-Q2,rabat,inconnu,7044524.0,3077000.0,9997.0,221
2026-Q2,rabat,location,67397.0,20000.0,109.0,394
2026-Q2,rabat,vente,10332660.0,5500000.0,25754.0,303
2026-Q2,tanger,inconnu,1648132.0,663000.0,10866.0,297
2026-Q2,tanger,location,13889.0,12000.0,102.0,376
2026-Q2,tanger,vente,2917898.0,2016000.0,17589.0,245
